State	State's Utility	Best Action
OOOO	1173.5429174084243	2
OOLO	1162.499861898218	2
OOMO	1045.61881987356	3
OOHO	1126.1886256675818	2
MOHO	934.119282496915	0
LOHO	1004.577204529168	2
LOMO	1049.5304451465577	0
LLHO	1013.4661967585957	2
MLLO	1070.5182558608324	0
HLOO	699.55164683883	3
ILOO	710.6131594102848	0
HLLO	932.9380934926553	2
HMOO	902.730194468973	0
IMOO	656.7020261486867	1
ILOL	652.7579587737947	3
IOOL	658.9487263066987	3
IOOM	598.7339118342138	3
HLOM	973.4192159878228	3
HLOL	1059.354909115219	0
ILLM	714.2898232475764	3
ILLL	868.8506400997558	0
ILOM	587.7275801120207	3
IMOH	428.0591995710438	3
IMOM	508.95482210081866	1
IMLM	399.31412674059766	1
IMLL	439.24139727386734	3
IHLM	354.78580297742377	3
IHLL	438.65107264403616	3
IIHO	-132.04278997827055	2
IIIO	-199.90066243163602	2
IIMO	290.1451579972955	2
IIML	-9.389976995453239	3
IILO	366.82814821128517	2
IIOO	418.69813204332314	1
IIOL	420.070474505898	1
IILL	284.2569267006873	2
IHOL	506.74917093466917	1
IHOM	426.0742538412023	3
IMOL	591.2076385273474	3
IMML	502.08687467461266	2
IMMO	569.7482623824083	1
ILLO	783.6049125400018	0
IOLO	668.3356777569245	2
ILMO	655.276029429692	2
IOOO	681.3612106499028	0
IOLL	632.700279432692	0
IOOH	524.9105841735135	3
IOLH	492.85892968085926	3
IOLM	541.5021205699546	2
IOMM	479.5846409059983	3
ILML	643.2653861127354	2
IMLO	536.8509585226219	2
IHLO	498.5013673711394	2
IHOO	601.031823533818	1
IOML	542.357954104846	3
IOMO	617.0051156459505	2
IMLH	321.1709111896314	1
IMLI	239.05382007066828	3
ILLH	632.8608409228187	3
MOLM	599.4302514894229	3
IOHO	552.0662545736157	2
ILHO	532.8558036329583	2
IOOI	382.9981099686664	3
IOMH	401.6261768153985	3
IOHL	435.9272084950972	2
ILHL	437.9185454228169	2
IMHL	411.8781872071514	2
ILMM	548.9388475014619	3
ILOH	508.8867309038266	3
IOLI	358.58214381677783	0
HOLI	489.7181286501538	1
IOHM	363.2305892630614	3
IOIO	411.3175020620724	2
ILIO	360.18575185586513	1
IOIL	360.18575185586513	3
IOIM	284.16717667027865	3
ILOI	334.5670529125763	3
MOLI	777.8738154116435	0
HOMI	652.95819071255	0
LOMI	758.842644106904	2
LOLI	832.0475866179673	3
MOOI	764.1368029448621	0
MLOI	639.9454117529872	2
LOOI	866.3381191006711	0
OOOI	916.3307257581448	3
OOOH	1056.76193945257	3
MOMI	435.40741885270705	2
HLOI	797.4693778732569	3
