State	State's Utility	Best Action
LLLL	740.1390562758609	3
LLML	691.168183300458	2
MLML	608.7871968574658	2
MLHM	386.1231297734012	0
LLHM	517.3446855601826	3
LLHL	630.8116074026486	2
LLMM	612.9524003865778	2
LLMH	534.697242354371	2
MLMH	401.11529475399146	0
MLHH	251.02022530828629	0
HLHH	24.71745469623474	2
HLHM	138.70499706509565	2
HMHM	107.07596171827959	3
HMHL	342.77030307444073	1
MMHM	297.5108167960611	1
MMHL	315.9494653700196	2
HLHL	414.18997818882315	0
HMLL	502.7352426482668	0
HHHL	215.04032410570915	0
MHHL	283.3787703161498	0
HHHM	-39.665716287677284	1
LHHM	186.74846126073146	1
HMHH	-94.69413332789554	3
LLLM	682.4591961712557	3
LLLH	598.2505671524191	3
LMLM	599.7276368372651	1
LMLL	687.1229156813716	1
MLLM	599.3818070418921	0
MLLH	513.0004912406825	0
LMLH	518.2253666064228	1
MLLL	678.4872432641456	0
HLLL	498.9690075869981	2
HLLM	529.449563159772	0
HLML	466.32532770689284	0
MLMM	459.81782151196154	3
MLHL	534.2997931219845	0
LMML	621.000947257125	1
LMHL	490.3973573888566	2
MMLM	465.3654262171931	0
LMMM	469.29187837450615	2
MMMM	376.37219572195863	3
MMML	548.9008525314125	0
LMMH	461.227518118934	1
LHLH	409.72485228272717	1
MMMH	121.78963700929992	2
MMLH	311.84956153707776	0
MHMH	219.09375637121946	1
HHMH	-113.48201366283928	3
HHLH	157.18438073409752	0
HMLH	9.81864502104981	1
MHLH	167.18438073409752	3
HHHH	-325.7891711769305	0
MHHH	95.73718740500794	0
LHHH	184.15305641795163	2
LHMH	280.68346918566937	2
LHMM	431.6571762552681	2
LHLM	501.84214362404464	3
MHLM	260.63616658500104	1
HMMH	-90.26487303293989	0
MHMM	82.47551635995245	2
HHMM	147.19576540782163	2
HHLM	230.2182541434376	3
HHLL	348.04598675515024	1
MHLL	286.0334946973235	3
MMLL	630.6385189377311	1
HMMM	-33.658712110764824	0
HLMM	425.24219693979296	2
LHHL	348.19925746725295	1
MHHM	18.73390219082026	3
HLMH	86.07838174136492	2
HLLH	419.727118742477	0
HMLM	456.50460684379476	1
LHLL	650.6753180070707	1
LLHH	373.4706708711991	2
MMHH	165.91820277745765	1
LMHM	445.6102170041643	1
LMHH	119.32638249971188	3
HMML	412.7365080776534	0
