AJWT	ATWT
43.55846	118.48162
37.95288	115.57823
37.64308	112.08981
38.27267	118.45226
41.908657	96.06442
42.463978	110.26111
38.407536	100.3976
49.337708	131.19798
41.927795	116.49745
42.925976	171.9121
36.49713	113.062546
35.48083	85.368965
40.391106	121.947685
37.139088	112.68394
40.38729	86.5737
41.244408	116.940796
43.335403	137.76802
42.16555	95.690346
39.61843	130.22118
41.648674	105.278114
41.383488	182.78368
35.793293	113.65579
41.49386	115.249466
37.951427	142.48529
45.787483	126.08148
41.319546	161.0416
52.879986	162.22414
42.475895	159.60947
39.940025	146.94923
36.165966	110.38365
