State	State's Utility	Best Action
OOOO	1178.0167188278442	1
OOLO	1161.049391073004	2
LOOO	1162.644680612609	0
LOLO	1142.720634260568	2
LLOO	1135.331614747299	0
LMOO	1071.4496018865298	1
OMOO	1107.1751516750671	1
OLOL	1134.7749118297288	1
OLOO	1161.3247617268164	1
OMLO	1087.9164694477863	1
OHOO	1049.8899463787652	1
OILO	916.1556464787587	1
OIOO	929.398659350083	1
LIOO	879.3997633301473	0
LHOO	1009.5258546357625	1
MHOO	887.1559247373934	0
HIOL	683.897684303754	3
HIOO	759.8865663362194	0
MIOL	815.3603213720844	1
MIOM	720.4383749374985	3
MIOO	822.7095386016181	0
MILL	778.0858426715181	0
OILL	864.5400818308829	3
LHLL	650.2823370460685	1
MHLL	678.0917580077469	2
MHOM	742.324443060811	3
HHOO	776.987560357084	1
IHOM	552.7556450818508	1
IIOM	339.7372131690675	3
IIOO	503.7034866115524	1
HILO	622.4604545654674	0
IHOO	664.7040921992509	1
IMOO	736.0029495878936	1
HMLO	756.5960809939468	0
MHLO	818.4403322636541	2
MMLO	654.5079158733786	3
HHLO	693.8979097025975	2
OIOL	875.9648126409305	3
OHLO	991.7400571141145	2
LHOL	958.5732691721862	3
MHOL	894.8450606947872	0
MMOL	803.2764021269716	3
LHLO	916.7602785757292	1
LMLO	1009.3743220065498	1
MLOO	1097.1601652220997	0
OMOL	1091.297420646756	1
OHOL	985.5271372861447	3
OIOM	821.728135822318	1
LILO	864.5400818308829	0
LIOL	831.4597869971326	3
OLLO	1137.176079757441	1
OHMO	917.3356949914914	2
OMMO	1036.4576365075604	2
OLMO	1066.4576365075604	2
OLHO	1077.193215984066	1
OOHO	1130.2150469450598	2
OMIO	393.864354457445	0
OHIO	415.4051292097198	3
OIIO	485.4957292946468	2
OIHL	647.3284652557803	2
OIML	847.8553424265988	1
LMMO	855.0842507181563	2
MMOO	1027.4441486998899	1
MOOO	1129.3315700589637	0
LLLO	1100.3470184150092	2
MLLO	1044.42641346754	1
MOLO	1093.8074339869318	0
HOLO	1051.2500988946294	2
HOMO	968.9172761111053	0
MOMO	1043.241744851959	0
OOMO	1114.713370899762	2
LOMO	1073.2420338097859	0
LLMO	998.9175703667632	1
LOHO	1025.9178304288073	2
OOLL	1144.9444519657036	3
OHOM	921.3085988528887	3
OMLL	1010.271898802906	3
LOOL	1146.380212551348	3
OLLL	1100.4088518664696	1
OHLL	928.8882631233427	2
OHLM	865.3200080387074	1
OILH	731.5697718416827	3
LIOM	801.4597869971326	3
IHLO	573.0897666416823	1
IILO	434.94094290149326	1
IHOL	664.6268585994472	1
IIOL	472.8247607275257	1
IMOL	766.5252476061522	1
LHLM	645.9086831259606	0
OHLH	706.5654373915431	2
OIOH	773.9618268084619	3
OIOI	430.449278861032	3
OILM	726.1707204640759	1
OHML	930.9506619534192	1
OMML	1012.1676785820805	2
OMHO	962.8118728568044	2
LMLL	959.2447089226154	0
LHMM	-20.0	3
MHMM	-50.0	3
MIHM	-70.0	3
LIHM	-40.0	3
LIMH	-40.0	3
MIMI	-63.49917716695566	2
MHMI	173.76791427193015	1
MHLI	323.6633371432329	1
MILH	118.0541259348372	1
MMLH	175.61601689704213	2
MHLH	217.35144551269877	1
HMLH	226.0071616628549	2
HMOH	284.45270217469647	1
HLOI	338.28107511404465	3
HLLH	548.758452210948	3
HLLM	609.7319725947991	2
HLOM	666.3692110017572	2
IMOM	770.0075058775569	1
ILOM	877.7864513905614	1
ILOH	790.0078062515053	3
IMOH	681.0070256263548	1
IHOH	273.5224242399548	1
