State	State's Utility	Best Action
LLLLL	934.9296646399032	3
LLMLL	900.8825400065247	2
MLLLL	900.4592461796573	0
MMLLL	850.4133215616915	1
HMLLL	795.3719894055224	0
HLMLL	786.1072716414081	2
MLHLL	743.9013440610462	2
MLMLL	793.2245972079223	0
LLHLL	826.780185217132	2
LLHML	644.3250012740968	2
LLMMM	688.207551921393	3
LLMHH	476.5680051606255	2
LLHHH	259.44576026442894	3
MLLHH	411.96358333915134	0
MLMHM	359.0553114196502	0
LMMHM	432.28450100555034	0
LMMHH	388.91120464456293	1
LMHHH	81.2396576969044	1
MLHHH	26.822794280721894	3
HLHHH	-291.6191003667694	3
HMHHH	-354.8571000304071	3
HLHMM	-54.8741748854459	0
HLMHH	-30.80789993723217	1
HLHHM	-242.01197009419272	2
HMHMH	-146.00436652348247	2
HHHHH	-384.4525322950842	3
HMHHM	-125.0	3
HHHMH	-76.67572156599822	2
HMHLH	-50.0	3
HMHMM	-70.0	2
HLHMH	-187.30068889772525	3
HLHHL	-96.4756857939727	3
HLMHM	386.4020106897053	3
HMMHH	-80.0	1
HMHHL	-50.0	0
HLHML	-10.0	3
HLMML	0.0	3
HLMHL	-10.0	3
HLLHM	429.87974138926336	3
HLLHL	656.1127806367319	3
HLLMM	689.6330737500405	3
HLLHH	344.35968218959516	3
HLMMH	307.7618096207348	0
HLMMM	473.7807668126867	2
MLLHM	550.8680889371021	0
LLLHM	651.6458300240145	3
LLLHH	558.2867394271589	3
LLLMH	676.4851441885024	3
MLLHL	707.0906317409452	0
HLLML	723.9526714021679	0
MLLML	794.6128893233381	0
LLLHL	764.9085039643189	3
LLLML	875.0761312536877	3
LMLHL	709.3214510179588	1
LLLMM	754.1697690556598	3
LLLLM	828.0702323185405	2
LLMLM	790.9707741091217	2
LLLLH	746.9238900533372	1
LMLMH	589.1965077729047	1
LMLMM	671.2737515549835	1
LLMHL	692.6368937144198	2
MMLML	582.742646503373	2
MMLHL	636.3815685668508	1
LMLHM	608.2989907916677	3
LLMML	830.5124862792766	3
LMLLL	895.5082456563824	1
MLLLM	772.4269233171684	0
MLLMM	727.4570649698854	3
LMMLL	850.7942860058722	1
HLLLL	840.1200580103515	0
HLLLM	786.1080522093164	3
MLLMH	579.8440678841865	0
MMMLL	637.0213982765785	0
LMHLM	696.6912414441467	0
MMMLM	-20.0	2
MHMLM	-30.0	3
MMHLH	-40.0	3
MMHMH	-70.0	3
MMMMH	-60.0	3
MMHHH	-80.0	3
MMMHM	-60.0	3
MHMHH	-80.0	3
HHHHM	-90.0	0
HHHHL	-60.0	3
HMMHM	-37.908439076528325	3
HHMMH	106.28650733526695	1
HHMMM	-70.0	3
HMMMM	35.65785660174025	3
HMMMH	206.98562865866137	1
HMLHH	259.9237139706357	1
HLLMH	561.2647137354021	0
MLLLH	840.4133215616915	1
MLMLH	543.7758129639683	0
LLMLH	725.0368798164919	2
MLMLM	705.1842309854516	2
LHLLL	704.4752471280405	1
LHLML	675.7990535288221	1
LMLML	782.2481088914391	3
LHLLM	630.9336775041676	1
LMLLM	761.668198759355	1
LMMMM	607.022117299732	3
LMHLL	774.1021666954189	1
LLMMH	678.7527921500938	2
LLMHM	579.4628892294185	2
LMMLH	652.5331918348428	1
LMHLH	450.7238448073109	1
LLHMH	511.91620418981313	3
LLHLH	579.9077026914925	2
LLHHM	454.1656807104267	3
LLHHL	567.2916123295722	3
LLHMM	648.9135118424299	2
LMLHH	501.9873328954599	1
LHLHL	640.7586811404706	1
LHLHM	534.7440307114093	3
LHMHM	349.0560509049953	1
LMMHL	638.3893059161629	2
MMLHH	411.7885996059139	0
LMLLH	600.1558120251601	1
LHLLH	401.3336645205209	0
LHLMH	407.56477073604384	1
LHLMM	567.8403097537508	3
LHLHH	338.2012518044765	3
LHMLM	282.29300632743536	0
LHMMM	313.65953781301226	3
LHMLH	381.84456347561314	1
LHMMH	326.80829366243944	2
MHMLH	303.66010712805183	0
LHHLH	275.1366959723558	2
LHHMH	-19.9956206378134	3
LHMHH	-197.5696636133195	0
LHHHH	-163.9660493259148	3
LHHHM	-107.26934048119367	3
LHHMM	-40.0	3
LHHLM	4.876033057851238	2
LHHLL	28.18181818181818	2
LHHML	-10.0	3
MHMML	-30.0	3
MHHMM	-70.0	3
MLHMH	202.4325493117408	0
MLHMM	-30.0	3
MLHHM	-40.0	3
HLHLM	8.0	1
HLHLL	20.0	3
MMLLH	540.1402308226441	0
MMLMH	456.1262077403797	3
HMLMH	465.1382423618619	1
MMLLM	695.5013788834195	0
MMLMM	634.7113584728969	1
MHLLH	476.1262077403797	1
MMMLH	557.2798726513586	0
LLHLM	614.022160658187	1
