State	State's Utility	Best Action
LLLL	933.8590113334722	3
HLLH	599.1705999020938	0
LLLH	804.6659026879872	2
HLLL	812.9797349497227	1
LHLL	840.473110200125	3
LLHL	825.9388854775078	3
HHLL	756.4257991801126	0
HLHL	612.7042091737684	3
HHHL	680.7832192621013	3
HLHH	320.0372246911735	3
HHHH	121.92642166846653	3
LLHH	539.2535399118844	1
LHHH	485.328185920696	3
HHLH	233.7189045823273	3
LHLH	539.2535399118844	1
LHHL	109.73377950161988	3
