State	State's Utility	Best Action
OHOI	14.928864205174335	1
OMOI	32.41059973302894	1
OLOI	64.54348341451477	1
OOLI	64.66926911295991	2
LLOI	52.95819661087578	1
LMOI	21.183278644350313	1
OHLI	3.2963656616414916	1
OMLI	16.48211994660579	2
MIOH	-30.0	2
MIOM	-17.5556	3
MIOL	12.2222	3
HIOO	10.0	3
HILL	-10.0	3
HILM	-40.0	3
HIMH	-80.0	2
HIMM	-70.0	3
HILH	-50.0	3
IIMI	-120.88860189437092	2
HIMI	-90.0	3
IIHI	-133.68802074995932	2
IIII	-148.79645262265294	3
IIMH	-104.0	2
IHOI	-50.0	2
LIMM	-30.0	3
LMMH	-19.425009344982833	2
LIHI	-71.32331822532251	0
MIHI	-90.0	3
LIHH	-50.0	3
OIHH	-39.565665663496496	2
OIII	-73.83638371205012	3
LIII	-84.42	3
LIIH	-72.1	3
OIIH	-58.0	3
OIHI	-56.61649638906299	2
OHMH	-20.0	2
OIMM	-18.741496310933332	3
LIMH	-40.0	2
OIML	10.430972902755556	0
OIHL	2.155442116444444	2
OIHM	-30.0	3
LIHM	-40.0	2
LIIL	-20.0	1
LIIO	-10.0	0
OIIL	-10.0	3
LIIM	-54.0	3
MIIM	-80.0	3
MIIH	-90.0	2
HIIM	-90.0	3
HIII	-133.33306285714286	3
HIIH	-100.0	3
HIHI	-100.0	3
HILI	-60.0	1
OILL	51.555353446577776	3
OIOO	74.99852216888888	3
OIIM	-40.0	2
HHLI	-50.0	3
HHMI	-80.0	1
MMII	-80.0	2
MLII	-62.496	0
HLII	-72.2221	3
HMII	-90.0	3
OMII	-43.04107347208823	1
OLII	-11.207751742898433	1
LLII	-23.200996452069724	0
LLHI	-10.0	3
LMII	-54.640199290413946	1
MHII	-90.0	3
LHII	-60.0	2
OHII	-59.9999	3
LHIH	-50.0	3
MIII	-114.76727674241002	0
OHMI	-30.0	0
OMLH	30.419066629883126	1
HOOH	27.523373342575784	0
MLLH	10.0	2
MMLM	-8.0	0
LMLH	10.0	2
MMLH	-20.0	2
MHOI	-29.798581041317686	0
LOMH	28.473372437992314	0
OOHI	16.513618125360676	2
MLOH	32.908696682902956	0
HOHI	-40.0	2
HOIH	-40.0	2
ILIM	-60.07453656235913	1
ILHM	-40.0	3
HLIL	-10.0	3
MLIM	-29.20256	0
LLIM	3.9974400000000005	0
OLIM	19.99744	3
LOII	-12.079471310973332	0
LOIH	0.8463445260844523	0
MOIH	-29.798424252351204	0
MOIM	-15.959634550599343	0
MOIL	20.20182724700328	0
MOIO	33.91530655419802	2
LOIO	64.8975693826553	0
OOIL	64.8975693826553	3
HOIO	18.49244427892144	0
LOIL	51.00960872054438	0
LOIM	20.201921744108876	3
HHII	-100.0	2
OHIH	-40.0	3
OMIH	-30.0	2
OMIM	-16.000512	1
OOIM	29.53974806629924	3
MOII	-42.41589426219467	0
HLMI	-40.0	3
HOII	-59.59294378786207	0
IOHI	-59.34994874562486	2
HOHH	-30.0	3
HOMH	-20.0	3
LOHI	3.1809625625279665	2
LMOO	93.11345528383369	1
LOHM	27.694648435409924	2
LOMM	38.47337243799231	0
IOHH	-40.0	3
