State	State's Utility	Best Action
LOOM	1079.759715099376	3
MOOH	861.0570304125417	3
HOLN	676.5368454697639	3
HOLM	889.305117773155	3
HOLL	965.8947490956353	2
HOML	889.3052741860719	2
MOML	915.1019974755425	3
MOMO	1051.7917765572358	2
LOMO	1083.5432307798865	2
LOML	1082.610809538573	2
LOOL	1136.2344550394375	0
OOON	1031.4186746081741	3
OOLM	1081.1031718181625	3
OLOH	929.1599004747826	3
LNON	874.9064382076914	0
LNOI	674.1967620294841	0
ONLI	676.1451153912152	1
LMLI	675.9154609170997	1
OMLI	746.7619306303676	1
OOMH	862.8682963752218	3
MOON	960.3066900324059	3
LLON	974.57486012405	3
LMLH	775.6899717821545	3
LNLN	827.4157943869222	2
LNLM	727.8538235642167	0
ONLM	775.3933137875122	2
OHOH	674.1967620294841	1
ONLH	782.333724632327	3
OOMN	952.7705874499338	2
LOMN	920.4736959103174	2
MOMM	910.3066900324059	2
MOMN	838.1783286567536	0
LLMI	452.2057735631004	3
LMNH	502.45098803947576	2
LMNI	403.33546939477486	3
MMNH	438.294689016522	3
MMNN	531.4387278756805	1
MLHN	612.7098773068587	1
MLHI	392.3299545656958	3
MLHH	480.36679148189637	1
MOHH	567.0743834415158	3
MOHN	691.9000386125588	0
MOHM	741.7287208027307	0
LOHN	812.6378329322857	2
LOHM	770.1268369337668	3
MOHL	833.474459558721	2
MONL	903.8607017530811	0
OONM	959.845410271661	2
OONN	920.1983153203445	2
OOMM	1015.3224981154895	3
MOMH	716.9694613985478	3
NOLI	700.7995158643603	0
OMOH	867.454745403636	1
OMLH	834.9953162697728	1
OLON	1001.9294635370685	1
OLOM	1062.0974425007848	1
LMOI	695.1973874597248	0
MMOH	688.2112353917777	3
NMON	864.1176207546238	0
LMON	937.9086563938434	1
OMON	951.7365171833617	1
ONON	916.5628654650255	1
OOHI	698.745016798624	2
LOHH	714.2080459171187	3
OOHH	751.3740496390571	3
OLNN	878.17848378831	1
OOHN	724.9181490965502	3
LONM	798.8605593421187	0
LONL	788.9745034079068	1
MONM	726.5115746160203	3
NONL	796.1241532403901	3
NONO	829.0270136028489	0
LOHL	854.474631577773	2
LOMM	893.8608692444949	0
LOHI	527.428157047052	3
MLMN	807.7440217879935	0
OLMN	897.4935287049404	1
OLMM	968.9444632388021	3
OMMN	866.5628654650255	2
LNOH	750.6381951186074	1
LMOH	800.7092708632724	0
LMLN	874.1177907544591	2
OLNM	879.8674217530308	1
OONO	1121.2825041574577	2
LONO	1055.1889077018977	2
LOHO	1009.670016931708	2
NOIM	458.6823772851738	0
HONN	481.10868990786867	2
HOHN	422.9978209170818	2
IONH	305.1183809185018	0
HONI	360.0969591091262	3
LONH	771.4049302249772	0
OOIH	548.2798952038828	2
OOIN	525.219678268636	2
OLHN	634.9368718288782	3
OLHM	892.0500169149219	2
OLLM	998.9444632388021	3
OLML	1043.2718091335978	3
LLMN	635.199963563544	2
MLLH	672.4445726943541	2
MMOI	573.6340515380474	1
MMLI	405.32993797027245	0
NMLI	289.0915772640352	1
NLLI	370.6077233609245	3
NLLN	399.99043789640046	3
NMLH	383.87909721528774	2
HMOO	494.304826004552	1
HLLN	515.8944169229549	3
HLLM	550.9939580237187	3
ILLL	601.1045549975278	1
IOML	592.010082989935	2
IOOM	700.1236946960687	3
IOLL	791.7729343081248	0
IOLO	776.908532664153	2
HOMN	474.1632374940783	1
HOMM	407.19009360600853	1
IOMM	519.8992918616304	2
IONN	449.68725849679913	3
IONI	320.93820557130465	2
NONH	442.9978209170818	3
HOMH	625.272515258693	0
HOLH	572.7452637328238	1
OOOM	1110.1812175366413	3
OOMO	1124.1119261020417	2
OLLL	1113.2247484801437	2
OLOL	1136.9166084768588	3
OLOO	1160.830102288015	1
OMLO	1112.2845505040516	1
OOLL	1133.6451691327152	2
OOHM	857.8707744111114	2
OOHL	605.4566922649492	3
OLIO	617.705611113785	1
OOIO	630.7841709677037	1
LOIO	637.625406737637	1
MOIO	624.2633148148543	0
LOIM	520.7583427959048	2
MOIL	675.1819595175947	0
OOIL	739.0912165809743	2
MONO	904.4054901206073	0
LLNO	949.3396541163949	2
MLMO	977.0442749707737	0
LLMO	1052.2716258208911	0
OLNO	1102.5242323706643	2
OLLO	1136.1382342871973	2
LLOO	1126.161293291297	1
LLLO	1079.0044114249436	1
LOLO	1128.1054113728796	2
MOOM	1011.4520747915824	0
OMOM	961.6099636753025	3
ONLN	835.9265338042827	1
LLLM	940.0500169149219	3
MLON	944.4118621897225	3
NLOM	941.7365171833617	0
MMON	859.9706759707502	1
MLOM	1004.9022736321293	3
LLOM	991.4819376084549	1
OMMI	678.309037352119	2
LLLH	826.7060116790132	3
LHOM	764.1443400653683	0
LNOM	944.770375360522	3
OOOL	1159.441537721275	3
MOOO	1124.2132964711564	0
NOOO	1106.343013762652	0
NOLL	1020.2731823032922	3
NOLO	1055.859274636147	0
HOOO	1064.0677794958958	0
IOOO	810.8569455212142	0
IOOL	774.6789890405337	3
IONM	499.6526520120327	2
IOLM	632.909074540779	2
ILON	550.180409785075	1
IOOH	556.9767459524857	3
ILLI	343.2735336187907	3
ILMI	398.6373897101908	2
HLLI	323.5469510248321	0
NLMH	543.0130664253162	3
NLMN	614.4591205113857	2
NLON	671.6213986754192	0
NLLM	613.5230672662137	1
NOMH	648.3591183950078	2
HOOH	794.9513273712876	0
HLOI	568.3398101164165	1
MLLN	690.6905925909655	1
MMOM	773.9736083736752	0
NMLM	434.17389647110025	0
MMLM	482.4155740969218	2
MNOM	655.0426209223377	0
LHLL	743.0149338948363	0
OHML	781.1279290558033	3
ONMM	735.2839740828064	1
OHMM	693.0151361502229	3
OHNO	845.6979177641266	1
ONNO	895.2201216807533	2
ONML	928.0225648693054	2
ONLL	1007.0380331636285	3
ONLO	1041.1535648949462	2
OHLO	997.0382084054515	1
ONOO	1063.6578587923466	1
LNOO	1053.6125989015122	1
LHOL	972.5137017408639	3
OHOL	1025.0152241565154	3
ONOL	1039.2228607239626	3
ONOM	885.562732053988	1
OHOM	874.2524365135198	3
OHOO	1072.2393312616662	1
OIOO	982.5137017408639	1
LHOO	1025.0153981354997	0
MNLL	789.5657885167589	3
MNLM	710.609209665083	3
MHLM	619.5482886985747	1
MHMM	-23.747652322323905	3
MHML	29.169426579308826	1
MHMO	16.252483921377944	1
NHNL	54.63284359666615	1
NINM	22.81239838391597	3
NINL	169.58326841776042	0
NHHM	36.77362290447053	2
NHNM	96.4152917141525	2
NHLM	228.5541754952325	3
IIIO	-233.57142857142767	2
LIIO	20.106931251009932	1
LIIL	33.45223148560767	1
LHIL	254.07273191084403	1
MHIL	293.4143141011882	3
MHIO	370.4605121253254	1
MNIO	444.95628341418427	0
ONIO	505.5071362212969	0
OHIO	528.341413047614	1
OMIO	575.9350500024066	1
LLIO	594.420673603767	1
MLIO	571.836983333369	1
LOIL	705.1820949228769	0
OOIM	611.1913015572849	2
OLIL	463.5195226677573	1
OLIN	490.5761621837334	1
LMIM	438.68250851631433	1
LLIM	448.8141395566564	3
MLIM	411.5185459653601	0
OLIM	521.3849409216645	1
OMIM	372.7943929818363	2
ONIM	292.80616175837736	0
ONIN	336.4514363274319	1
OMIH	373.8350709082507	1
LMIN	10.748997357214108	2
LMIH	-39.662951189253654	3
HHIN	-62.1679935865238	1
IHIH	-295.21041930419767	3
HMIM	-7.303488666838341	3
INIL	69.66295915031675	2
INHL	240.99913021869395	0
NNHL	301.1103168080366	1
HMHL	334.5671862658837	0
MMHL	405.07481458575404	1
MLHL	472.3055084239744	3
NLIO	513.6729418400735	2
NMNO	548.525641563887	2
HMMO	605.5394160751134	1
HLMO	683.9328370269513	3
HLNO	737.7033007373548	1
HONL	786.3371453962556	3
HONO	840.3747467674647	2
HOOL	1017.6610015463062	3
HOOM	945.8949013916756	3
ILOL	737.2110901364804	1
HLOL	706.7179943846091	3
HLOO	729.6868074299246	3
ILOO	758.5063842366883	1
LLMH	685.9154609170997	2
LHON	705.5743756067467	1
MOOL	1096.7882844182245	0
MOLM	948.245864072963	3
MLOL	1083.224947629173	0
OLIH	448.7057722695953	1
OMHH	389.5897793469207	3
ONHN	455.09990591924014	2
OHNN	494.5555981339496	3
LHNM	537.1609860970888	2
LHMM	607.9567920452637	2
LNMM	661.7555766745257	0
OMMM	805.8712455040071	3
OMML	895.4126538989829	1
OMNL	793.928125987714	3
OMNO	837.698109512678	2
OMMO	875.2203083823748	1
LMOL	910.2933378244699	2
LMOM	922.3337438476094	1
LLOL	1045.8876982507063	0
NOLM	811.9150181798127	1
NOML	811.9150181798127	2
HOON	648.8831609227875	1
IOON	660.1113252264619	3
IOMI	369.4989368439083	0
MLLI	364.7969441732452	3
MLNI	517.2460937291852	0
MMNI	204.7871173686885	2
MMHI	283.0969591091262	1
MOHI	334.11854596536006	3
NOII	404.57628678815433	3
HLHI	204.7872631982136	0
HMHH	114.30853687839223	1
MMIH	156.53591857402594	1
HNIN	97.40458299646721	2
HNHN	163.78299102428568	0
NNHN	226.42566342521988	0
OHHN	326.45156381742567	1
LHHM	212.30759558040236	3
LIHM	269.23080141222863	0
OIHM	343.58991532731613	1
OHIM	415.1000383205547	2
OINM	464.4448874873799	1
OHHM	527.1611128407374	2
LHLM	697.7299060588315	2
OHMI	537.1811374385362	2
HMOI	486.2706463842427	0
NLOH	707.9816072752975	1
LHOI	606.7770858265358	1
OHLH	616.7770858265358	2
MONN	774.3604957910783	2
NLHI	76.21376234788357	0
