State	State's Utility	Best Action
OOOO	237.4906004510901	2
OOLO	226.95624941212782	2
OOMO	177.95694461568638	2
OOHO	188.74530022554507	2
MOHO	100.0235858048068	0
LOHO	140.0478685617281	2
LOMO	160.096348368093	0
LLHO	131.00936647272817	2
MLLO	162.02092274428597	0
HLOO	113.87709133976915	3
ILOO	107.7570713282763	1
HLLO	109.10488527105754	2
HMOO	88.06652417132749	0
IMOO	69.6223539989056	1
ILOL	84.92675205879837	1
IOOL	106.68080323892427	3
IOOM	67.33100788978442	3
HLOM	94.1770016277776	3
HLOL	148.35491264951463	0
ILLM	34.347218708220375	3
ILLL	87.16779172526424	0
ILOM	49.51204971195963	3
IMOH	-25.550110208184392	1
IMOM	4.756024855979813	1
IMLM	-28.417532707645464	3
IMLL	8.602345564000512	3
IHLM	-40.0	1
IHLL	-2.2713115781860127	3
IHML	-40.0	1
IHHL	-50.0	1
IIHO	-87.4999764790447	2
IIIO	-114.27399429673642	2
IIMO	-40.0	0
IIHL	-60.0	1
IIML	-50.0	2
IILO	-8.243098846275949	2
IIOO	3.5146936741305006	1
IIOL	-5.191877479074644	1
IILL	-20.0	1
IHOL	17.021717532227402	1
IHOM	-21.4891412338863	3
IMOL	42.55554289775723	3
IMML	-8.722228551121386	2
IMMO	7.314051307897376	1
ILLO	90.39577995571474	1
IOLO	105.09704530687675	2
ILMO	54.62920088048277	2
IOOO	119.7195575130975	0
IOLL	88.59784668610821	3
IOOH	37.52113698830087	3
IOLH	14.237459510631084	3
IOLM	41.84502817721584	2
IOMM	-7.8840640873714385	3
ILML	31.74952457722109	2
IMLO	25.80788661112082	1
IHLO	15.458027424867137	2
IHOO	44.8111769994528	1
IOML	36.49067934252719	3
IOMO	66.28907173467303	2
IMLH	-59.472510902548485	3
IMLI	-79.73625545127425	3
ILLH	7.173609354110187	3
MOLM	74.2989233430541	3
IOHO	41.85947894819174	2
ILHO	16.026610944264995	2
IOOI	7.802064302699735	3
IOMH	-33.94203204368572	3
IOHL	10.865364974697664	3
ILHL	-7.991191065357548	3
IMHL	-40.0	3
ILMM	-14.125237711389454	3
ILOH	16.808665111094992	3
