State	State's Utility	Best Action
OOOO	149.56782178444587	1
OOLO	138.6189775743602	2
LOOO	138.85265716286264	0
LOLO	127.21638137773752	2
LLOO	126.67453890839312	0
LMOO	92.36799035647884	1
OMOO	105.46556267584366	1
OLOL	125.45126646004594	1
OLOO	138.72049308612864	1
OMLO	94.5217144044346	1
OHOO	90.0684911916969	1
OILO	64.46165881707691	1
OIOO	75.63455511511674	1
LIOO	64.79588276214675	0
LHOO	77.764333467238	1
MHOO	44.94185186712748	0
HIOL	3.383143161319136	3
HIOO	16.915947760165558	0
MIOL	20.01120328475743	0
MIOM	-13.299796650485664	3
MIOO	33.50111017007785	0
MILL	10.578438308847945	0
OILL	52.892331763415385	3
LHLL	42.0	1
MHLL	10.0	1
MHOM	-3.888934786074574	3
HHOO	26.82652767116957	1
IHOM	-31.392173571703612	3
IIOM	-44.453124182090846	3
IIOO	0.6940397677347372	1
HILO	2.8663796341147263	0
IHOO	14.38966027789561	1
IMOO	28.733100287203925	1
HMLO	25.79764452641698	0
MHLO	28.988370373425496	2
MMLO	32.67662863226383	3
HHLO	13.383189552033112	2
OIOL	64.50278368935264	3
OHLO	77.52755107832049	2
LHOL	65.5528666934476	3
MHOL	34.28479684996507	0
MMOL	38.581198747358854	0
LHLO	64.36066755897625	1
LMLO	79.25036224027282	1
MLOO	95.4790543878247	0
OMOL	95.0902532920092	1
OHOL	77.29522885100606	3
OIOM	32.70636379123364	3
LILO	52.892331763415385	0
LIOL	52.95917655242935	3
OLLO	126.62222705849116	1
OHMO	45.47051340580629	2
OMMO	61.09311253516873	2
OLMO	91.09311253516873	2
OLHO	79.98179664584961	1
OOHO	99.91356435688917	2
OMIO	22.2222	0
OHIO	11.1111	3
OIML	16.575601158792654	3
LMMO	42.87213351179525	2
MMOO	59.19346961493463	0
MOOO	108.28260446839514	0
LLLO	113.25520881364073	2
MLLO	78.92633129860496	1
MOLO	94.63225872798867	0
HOLO	78.94257051079606	2
HOMO	42.25711734274814	0
MOMO	61.28689469354893	0
OOMO	106.43555543733744	2
LOMO	91.2871110874675	0
LLMO	74.99883879067826	3
LOHO	78.2574222174935	2
OOLL	127.72379551487204	3
OHOM	46.21537315900895	3
OMLL	79.82535945126216	1
LOOL	127.77053143257253	3
OLLL	114.19145720039992	1
OHLL	64.67622162636398	2
OHLM	29.24307463180179	2
OILH	5.588541226625127	3
LIOM	22.959176552429348	3
IHLO	1.662040251494859	2
IILO	-10.538102637859836	2
IHOL	3.125940638289066	1
IIOL	-11.764740991647702	1
IMOL	19.941185231147223	1
LHLM	12.788827103543415	0
OHLH	13.94417845203542	2
OIOH	19.72091474805863	3
OIOI	0.44561525873484664	3
OILM	14.360326010897065	1
OHML	29.803588819981996	1
OMML	49.01805065840184	2
OMHO	42.21862250703374	2
LMLL	65.96507189025243	0
LHMM	-20.0	3
MHMM	-50.0	3
MIHM	-70.0	3
LIHM	-40.0	3
LIMH	-40.0	3
MIMI	-95.807307104	2
MHMI	-70.0	3
MHLI	-40.0	0
MILH	-40.0	3
MMLH	-20.0	3
MHLH	-30.0	0
HMLH	-30.0	3
HMOH	-20.0	3
HLLH	2.8136767840214603	3
HLLM	14.070879921254523	2
HLOM	20.363297044580655	2
IMOM	-16.7162992072629	1
ILOM	16.420955951071893	1
ILOH	3.2841911902143788	3
IMOH	-29.343161761957123	1
IHOH	-49.23036702549472	3
IHOI	-60.05716890652851	1
IHLI	-71.66372537415552	1
IMLI	-55.65184788241616	1
IHMI	-106.5789071008811	2
IILI	-87.29967250556052	2
IIOI	-73.93504953572352	1
IIOH	-61.52462047499404	3
IILH	-71.08318626870778	1
IILL	-23.37643795751558	1
HHOL	23.11057333868952	0
HMOL	33.28848993453415	1
HLOL	66.44298638839402	3
ILOL	49.70981281031462	1
IOOM	32.10679148474527	0
MOOM	60.53569047027034	3
HOOM	46.37647463222618	3
HOOL	81.88297200937234	0
HOOO	94.71352616312578	0
HLOO	82.21535932962178	0
MLOL	79.09581087756494	3
MOOL	97.07690197873723	0
OOOL	139.19481457955916	3
LOLL	109.41538039574745	2
OOOM	107.3650339288137	3
OLOM	95.30039674591066	3
LMOH	33.11057333868952	3
LLOH	64.49798007712806	0
OLOH	72.49798007712805	0
OLOI	62.497980077128055	2
OMOM	58.188618847903115	3
OMOH	42.899596015425615	1
LOOH	75.20085679889786	3
LOOM	91.47300678576275	0
LLOM	79.06007934918213	0
LLOL	115.33490778167862	3
OIMO	32.87811952808154	2
LMML	32.34499218207677	1
LLML	61.72559561334264	3
OHHL	14.9984	3
OMHL	24.9984	3
OHHO	24.9984	2
OIHO	16.575623905616307	2
LHHO	13.315124781123261	0
OMLM	45.96507189025243	3
LMOL	75.81201586983643	1
OOLM	91.47300678576275	2
LIMO	16.575623905616307	0
OHOH	35.459045770201215	3
MMOM	8.579919203085124	0
MLOM	37.71623974947177	3
MHLM	-20.0	2
MIML	-30.0	3
MHML	-20.0	3
MILM	-30.0	3
HHLM	-30.0	3
HILH	-50.0	3
HHMH	-70.0	3
HMMH	-60.0	3
ILMH	-40.0	3
IMMI	-93.19905646084467	1
ILMI	-61.465173454472506	1
IMHI	-107.39965272744547	1
IHHI	-122.75718014753119	1
IHHH	-90.0	3
IIHH	-121.19008640078565	2
ILLI	-22.725903859652128	1
IMOI	-43.414149331901065	1
HMOI	-30.0	1
IMLH	-40.0	3
HMLI	-40.0	2
HHLH	-40.0	3
HILI	-60.0	2
HHLI	-50.0	3
HIMI	-109.16146142080001	0
HHMI	-91.2029844800484	2
HIOI	-56.01508598000885	1
MMLI	-30.0	1
MMOI	-17.287087996545132	0
LMOI	13.564572949722569	0
OHOI	13.03811327783129	1
LHOI	0.3564572949722569	1
LMLI	6.542582400690974	1
OMLI	17.9587885009355	1
OLLI	47.07680418021636	1
OLMI	16.18326206410866	1
OOMI	30.91736892592531	2
LOLI	54.58739557170941	3
LLMI	0.3572208315537676	1
LOMI	13.339050398948267	2
MOMI	-15.574358067512641	0
OOHI	13.839697981588122	2
LLLI	32.71291458994452	2
OMOI	22.60762265556626	3
OHLI	3.5917577001871006	1
OILI	-10.497891854865653	2
OIMI	-43.686959582603066	2
LIOI	-11.29473376487534	0
MHOI	-34.72870879965451	1
MIOI	-41.867601785521394	0
LILI	-20.0	2
MILI	-62.272521420800004	2
HHOI	-40.0	3
HOOI	11.513100660021651	3
MLOI	18.014258240069097	0
LLOI	40.07129145899445	2
HHHI	-90.0	3
IMII	-117.61438919999821	1
HMII	-90.0	1
MHII	-107.22205	0
LHII	-60.0	3
LHHI	-50.0	0
LMHI	-40.0	3
MHHI	-96.6665	2
HHII	-100.0	3
HMHI	-80.0	3
IOLI	-12.619034864921712	2
HOMI	-30.0	3
MLMI	-30.0	1
HLMI	-40.0	3
HLHI	-50.0	3
HMMI	-70.0	2
MLHI	-40.0	0
HOII	-50.0	3
HLII	-60.0	2
MMMI	-66.0	1
LMMI	-30.0	3
LLHI	-9.761113066744931	1
LOHI	1.1945521930954208	0
LMMH	-19.928555833689245	1
MMHI	-70.0	3
MIHI	-109.16146142080001	2
IIHI	-134.95601971215515	2
IIMI	-120.76070508791852	2
OHHI	-40.0	1
LIMI	-50.0	3
IIII	-148.56526653246758	1
IHII	-134.33351438983962	1
ILII	-85.90428725565843	1
HIII	-130.0	0
IOMI	-43.47973025060062	2
IOOI	-0.32915161454571074	3
ILOI	-11.163845571855814	1
LHLI	-10.0	3
OHMI	-28.966637803152985	2
OIHI	-58.0	1
HOHI	-40.0	3
OLII	-10.0	2
OMII	-40.0	3
OMHI	-30.0	1
OMMI	-16.408242299812898	2
LOOI	62.496	2
MOOI	24.99904	3
HLLI	-10.0	3
IOII	-74.9952	1
ILHI	-73.40714580866394	1
IOHI	-60.6703004776293	2
IOLH	2.2768277390430995	2
IMIH	-104.99998024691358	1
IHIO	-62.12839940740741	1
IMIM	-92.59999920987654	1
IMHM	-70.0	3
ILIM	-50.0	1
ILMM	-30.0	2
ILHM	-40.0	1
ILLH	-9.54463445219138	1
IOOH	11.384335088020576	3
IHLH	-50.0	1
IHLM	-40.0	3
IHLL	-10.385104379037115	1
IIMO	-45.05004659125707	2
IIML	-59.49009164235479	2
IIHM	-90.0	0
IIIM	-121.18228831795054	3
IIMH	-110.35419690822313	2
IIIH	-134.8500254927434	3
IIIL	-86.59861106957788	3
IIIO	-74.76186178184304	1
IHIL	-70.68965473251029	1
IHIM	-105.72882658020882	3
IMIL	-50.0	2
ILIH	-60.0	3
IHIH	-120.90064839784915	3
IIMM	-95.72649422243508	2
IIHO	-50.0	3
IMLO	20.599946786782297	1
IILM	-58.0	1
IHMM	-70.0	3
ILOO	62.99973393391147	1
IOOL	64.99866966955734	3
IOOO	74.99866966955734	3
IOLO	64.99973393391147	2
ILLO	52.999946786782296	1
ILMO	20.59998935735646	2
IMMO	-19.667591949701027	2
HMOM	-10.0	3
IMLL	2.306712586943629	2
IHMO	-33.59507393184147	2
IIHL	-60.0	3
IHML	-40.0	2
MMMO	4.119997871471292	1
IMML	-30.0	3
IMMM	-60.0	3
IMHH	-80.0	3
ILHH	-50.0	3
IOHH	-40.0	3
IMMH	-70.0	3
MMII	-80.0	3
ILIL	-23.3333	1
HIIO	-50.0	3
MIIL	-50.0	3
IMIO	-49.9968	2
