State	State's Utility	Best Action
LLLL	691.3020692467976	1
LMLL	603.2764929932837	1
MLLL	656.3084635395373	0
MMLL	529.8351209250089	0
LMML	499.95716727432136	1
LLML	598.430660209644	2
MMMM	220.53956230453673	3
MLMM	350.7906354182534	0
LMMH	203.0238027390581	3
LMMM	394.9426100390538	1
MMHM	77.53624754899646	3
MHHM	-222.66470740172855	0
MMML	392.9135714847237	2
HHML	103.70033323757568	2
HHLL	235.56939114333773	0
HHLM	102.26023533623567	3
MHML	243.46335190809805	0
MMLM	339.1124759481638	3
LHLM	409.186779190964	3
LHML	424.2121320453687	2
LMHL	343.9135294475489	1
LMHM	215.39070645608018	3
HHHM	-271.833907519454	3
HMHM	-80.17036020688087	3
HMHH	-404.5625500176199	1
HHHH	-505.49282012134404	1
HHHL	-57.58783175105288	1
HMHL	145.51188519386835	1
HLHL	272.7261930095243	2
HLHM	97.00863556501993	3
HLLL	518.8322888473647	0
HLML	381.2701447785343	2
HMML	230.1518584450562	2
HMLL	367.9495565947585	1
MHLL	415.4418338114695	0
LHLL	521.388620574922	1
LLLM	642.6521861659315	3
MLML	514.2745223677844	0
MLLM	512.550057689585	0
HMMM	92.83737220778661	1
HLMM	272.9409974276403	2
HLLM	444.65621215076374	3
HMLM	320.56579583552843	1
HMLH	-15.048261990520919	3
HMMH	-241.28147227285228	1
HHMH	-356.3323261821379	2
HLHH	-300.2452785510226	3
MMHH	-301.5832433453193	2
MHHH	-242.78178891228956	0
LHHH	-116.75776949920487	1
LHMH	156.47711432206032	2
LHLH	282.1324881229112	1
MHLH	48.575657439770666	1
MHLM	255.49730242176224	0
MHHL	128.67184457119143	0
MMHL	205.87911464747128	1
LHHL	247.74923449565867	2
MLHL	424.4180994369379	0
MLMH	288.0463406152147	0
HLMH	-82.76942576671337	2
MLLH	394.3622688659034	0
LLMH	424.84312308651937	3
LLLH	482.8135324987116	3
MMLH	334.9260419793131	1
HHMM	-48.72342084915762	2
HHLH	-68.23349313070551	3
HLLH	54.5485365057428	3
LMLM	539.3536387241827	3
LLMM	532.4285328102093	2
LHMM	151.11651653734324	3
LMLH	413.2105240522981	1
MLHM	331.5593089763584	0
LLHM	420.1536322304909	3
LLHH	326.40519388477645	3
LLHL	503.43396346520086	2
MHMM	-7.643137657836853	0
LHHM	192.9743110460928	3
LMHH	190.22945090858778	1
MHMH	-83.88141643039256	2
MMMH	-34.45767031641567	0
MLHH	268.4033780787226	3
