AJWT	ATWT
52.224365	371.65036
54.899326	400.8506
53.94016	365.06387
56.671818	403.14383
56.24578	384.5802
54.51851	368.74152
50.3283	341.02145
53.146812	353.10513
52.720528	348.54712
51.68093	392.99075
51.363445	395.49448
51.44781	362.6889
54.747856	349.3951
54.834507	381.38327
55.3072	410.3996
50.040596	405.7841
52.785946	348.78674
52.785946	348.78674
53.698017	409.58987
54.957195	378.08124
51.061066	402.26367
51.67821	354.50873
55.651775	378.61823
55.557877	382.3665
57.308	394.10425
48.952263	356.2396
51.791027	368.20386
54.411083	365.5022
57.732918	394.14337
52.21173	371.00366
