State	State's Utility	Best Action
OOOO	1159.8348051720072	0
OOOL	1148.9572591384047	3
LOOO	1151.6470531325392	0
MOOO	1118.0624625154458	0
NOOO	1104.1983547648401	0
HOOM	479.77814586413217	3
IOOL	499.7536756097126	3
ILMO	499.72647947659	2
ILOO	544.1406993027304	0
HLOL	627.4980408132208	3
ILLO	641.6646516199313	2
INOL	712.634821313032	0
IMOL	610.2227250479425	3
HMOM	305.49984992006915	1
HLON	350.5555335072014	2
ILOH	356.1729541249067	1
IOOH	395.7478605480954	0
HLOI	428.60886251832517	1
IMOI	-5.441665943998281	1
NMOI	342.6653941249505	0
NNOH	220.5756084534074	2
HNOH	233.97303924127394	1
HMOI	271.0812902267796	0
MMLI	334.534897197806	2
MMOI	405.0388999105391	0
IHOI	-97.05829878374041	1
INOI	-47.00087783402341	1
IHLI	-178.627104948054	1
IHMI	-254.20342390002355	2
INMI	-195.8064560394372	1
IHNI	-293.34242935814865	1
IIHI	-545.4013221977436	2
IIMI	-348.18647640234485	1
IINI	-447.0074397410462	2
IHHI	-349.91814445740874	2
IMMI	-136.7001384157782	1
INNI	-209.8375741276718	1
IILI	-246.1042101011077	1
IIII	-655.8526857331738	1
IHII	-570.7665713007143	1
INII	-508.2874112395145	1
IMII	-456.05883468208594	1
HIII	-432.4954212993465	1
INHI	-344.0081864223338	2
INLI	-91.05074396486035	3
IMLI	-75.7318382553953	1
ILLI	-24.30524189778047	1
IMHI	-271.07431616278836	2
IIOI	-189.07204682024172	1
ILOI	62.29814635039375	3
IOOI	33.566855924256494	3
IOLI	-0.8020125986603919	2
IMOH	290.55565871241606	1
HNLI	184.31725356517464	0
NNLI	238.13038087401634	3
NHLI	275.70051849857447	2
NNMI	233.49229278140427	2
NHMI	150.14306350326385	1
NMMI	194.5066518738568	1
NILI	208.13046664871703	1
HIOI	106.94441083678353	0
MIOI	264.3007015434051	0
LIOI	323.594118939868	1
LILI	248.69187512458393	0
MHLI	228.69187512458393	0
OILI	298.54666715439714	2
OIOI	352.62992145428484	1
OHOI	429.287502337648	1
OHLI	365.4770059858719	1
ONLI	437.8872467796216	1
NIOI	115.74304327054028	2
IHMH	178.23082069646858	2
IHLH	286.92329149193137	2
IIOH	374.3593640735906	3
IION	471.51054998590024	1
IHON	557.23408426918	1
INON	641.3713391817289	3
INOH	472.510675842262	3
IHOM	547.2342052635561	1
IIOL	500.09953710773533	3
IIOM	440.09456025234863	3
IIOO	566.7773941512058	1
IILL	372.8086078792171	3
IILO	500.09965473608526	2
IHOO	629.7527858171424	0
INLO	661.3713391817289	2
IHLO	511.8161556376582	1
INMO	568.6848233245057	1
IHMO	434.53540479032665	1
IINO	111.7580668060273	0
IIML	-17.03067566370904	2
IIMM	36.63271847275546	1
IHNM	176.07170082656026	1
INNM	262.3020128656072	2
IHNL	219.45460722032124	3
IHNO	396.8348168719086	1
IIHO	249.73158327516074	1
IHHO	333.035286472523	1
INHO	414.4838380883864	2
INNL	187.5091464982891	3
IINL	157.5091464982891	1
IINM	30.58226012542457	3
IIHM	-42.52515404620018	3
IIIM	-164.69530394586963	1
IIIN	-238.22577355128266	3
IINN	28.56150924557727	1
INNN	-4.294641678980458	2
INNH	336.64377919983343	0
OHNI	429.6043609096986	3
HHNI	-61.825926596585234	0
MIHI	-32.28427187961299	1
MHHI	64.12867813090392	1
NNHI	160.14306350326385	2
LHNI	100.07550852865683	0
MINI	50.44911606140606	3
MIHN	383.3083085901991	0
OIHN	492.5649426195639	2
LHIN	154.3266771845396	2
MNIH	-7.4673989142068535	0
LNIH	58.369678809411084	1
LMIH	98.18864934301797	1
LLII	153.5430565143105	1
OMII	216.3489223945138	2
OLII	217.89944909989438	1
OINN	569.5167522084282	3
LINH	60.06795767579115	1
LIHI	144.52848484026097	2
LIII	-115.32673545162565	2
OIII	69.16742586229165	3
OIIH	228.59791669395588	3
OIIN	317.2871498523265	3
OIHH	399.18888163341234	1
OIHI	202.77956581683503	3
OHII	94.19476908496563	3
MIII	-169.3748465772672	1
NHII	-144.655946042293	0
MHII	-72.77743251299698	0
NOII	88.40987682489875	0
HHII	-284.160870061043	1
ONII	164.71403015506243	1
NNII	-94.75647977554577	1
ILII	-394.601330864818	1
IOII	-360.6679685936042	2
